Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
chatwoot,Navigational,1600,"0.22,0.29,0.29,0.36,0.36,0.29,0.29,0.36,0.54,0.36,0.36,1.00",57,7.90,0.07,"Sitelinks, Image, Video, People also ask, Knowledge panel, Related searches",147000
chatwoot docker,Informational,590,"0.24,0.24,0.24,1.00,0.55,0.24,0.24,1.00,0.24,0.24,0.24,0.01",23,0.00,0.03,"Sitelinks, Video, Video carousel, Related searches",105
chatwoot last version easy panel,"Informational, Transactional",390,"1.00,0.00,0.00,0.00,0.00,0.00",25,0.00,0.00,"Sitelinks, Video, Video carousel, People also ask, Related searches",85
chatwoot api,"Navigational, Transactional",170,"0.03,0.05,0.03,0.05,0.36,0.01,0.01,0.01,1.00,0.05,0.01,0.06",14,0.00,0.01,"Sitelinks, Video, Related searches",120000
chatwoot github,Navigational,170,"0.06,0.43,0.65,0.43,0.43,1.00,0.65,0.43,0.34,0.34,0.43,0.53",60,0.00,0.02,"Sitelinks, Video, Related searches",34200
chatwoot login,"Navigational, Transactional",90,"0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.02,0.02,0.02,0.02,0.02",10,0.00,0.33,"Sitelinks, Video, Related searches",34100
chatwoot pricing,"Navigational, Transactional",90,"0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.00,0.05,0.05,1.00,0.05",20,14.59,0.19,"Sitelinks, Video, People also ask, Related searches",79
github chatwoot,,50,"0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.00,0.04",,0.00,0.08,,
chatwoot api rate limit 60 requests per minute,Informational,40,"0.55,0.55,1.00,0.00,0.00,0.00",2,0.00,0.00,"Sitelinks, AI Overview, Related searches",194
chatwoot inc,Navigational,40,"0.28,0.64,0.28,0.14,1.00,0.14,0.14,0.14,0.64,0.14,0.14,0.14",38,0.00,0.33,"Sitelinks, Video, Knowledge panel, Related searches",
whatsapp coexistence chatwoot,"Informational, Transactional",40,"0.80,1.00,0.80,0.80,0.80,0.80,0.60,1.00,1.00,0.00,0.00,0.00",8,0.00,0.00,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches",103
chatwoot alternative,,30,"0.11,0.00,0.00,0.11,0.00,0.11,0.11,0.11,0.00,1.00,0.11,0.41",,8.29,0.66,,
chatwoot api documentation,,30,"0.21,0.21,0.21,0.21,1.00,0.21,0.21,0.21,0.21,0.21,0.21,0.21",,0.00,0.33,,
chatwoot com,,30,"0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,0.33,,
chatwoot nextjs,,30,"0.23,0.11,0.00,0.11,1.00,0.11,0.23,0.11,0.11,0.11,0.00,0.11",,0.00,0.00,,
chatwoot rate limit 60 requests per minute,,30,"1.00,0.18,0.09,0.00,0.00,0.00",,0.00,0.00,,
chatwoot sidekiq,,30,"0.00,0.28,0.00,1.00,0.57,0.57,0.28,0.28,0.00,1.00,0.28,0.28",,0.00,0.33,,
chatwoot sms,,30,"0.22,0.44,0.22,0.22,0.77,1.00,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.43,,
chatwoot user guide,,30,"0.00,0.00,0.00,0.14,0.28,1.00,1.00,0.14,0.00,0.00,0.00,0.00",,0.00,0.00,,
chatwoot versions,,30,"1.00,0.44,0.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,0.00,0.05,,
chatwoot vs,,30,"0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.60,0.40,0.60,1.00",,0.00,0.99,,
n8n nodes chatwoot,,30,"0.00,0.00,0.41,1.00,0.11,0.11,0.11,0.11,0.11,0.00,0.00,0.11",,0.00,0.00,,
suitecrm chatwoot integration,,30,1.00,,0.00,0.00,,
what is chatwoot,,30,"0.18,0.18,0.18,0.18,1.00,0.18,0.00,0.18,0.18,0.18,0.18,0.18",,0.00,0.03,,
api chatwoot,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot agent bot,,20,"1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,0.00,0.06,,
chatwoot ai,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,8.10,0.33,,
chatwoot alternative open source,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.79,,
chatwoot alternatives,,20,"0.00,0.28,0.28,0.14,0.28,0.71,0.28,0.00,1.00,0.00,0.28,1.00",,8.29,0.66,,
chatwoot api docs,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot api send message,,20,"0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot app,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.05,,
chatwoot automation,,20,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot aws,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot bot,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.03,,
chatwoot campaigns,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00",,0.00,0.14,,
chatwoot changelog,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot chatbot,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot chatgpt,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00",,0.00,0.33,,
chatwoot community edition,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.02,,
chatwoot crm,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.43,,
chatwoot crm integration,,20,"0.00,0.00,0.36,1.00,0.18,0.18,0.18,0.00,0.18,0.00,0.18,0.18",,0.00,0.86,,
chatwoot custom attributes,,20,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot demo,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,16.80,0.49,,
chatwoot desktop app,,20,"0.20,0.20,0.59,0.80,1.00,0.39,0.39,0.39,0.39,0.39,0.39,0.39",,0.00,0.29,,
chatwoot dialogflow,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00",,0.00,0.00,,
chatwoot docker hub,,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot docs,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.02,,
chatwoot documentation,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.02,,
chatwoot download,,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot email,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.04,,
chatwoot email configuration,,20,"0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot enterprise,,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot evolution api,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot features,,20,"0.00,0.22,1.00,0.22,0.22,0.22,0.22,0.22,0.22,0.00,0.22,0.22",,0.00,0.14,,
chatwoot funding,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,0.00,0.33,,
chatwoot help center,,20,"1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot hosting,,20,"0.00,0.00,0.00,0.18,1.00,0.18,0.36,0.18,0.18,0.00,0.18,0.18",,7.46,0.52,,
chatwoot icon,,20,"1.00,0.00,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",,0.00,0.33,,
chatwoot instagram,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot install,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot install docker,,20,"1.00,0.67,0.67,0.67,0.67,0.00,0.00,0.67,0.67,0.00,0.67,0.67",,0.00,0.33,,
chatwoot installation,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot integration,,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.14,,
chatwoot integrations,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot license,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.04,,
chatwoot live chat,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot n8n,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.02,,
chatwoot n8n integration,,20,"1.00,0.00,0.00,0.28,0.28,0.28,0.28,0.00,0.28",,0.00,0.33,,
chatwoot notifications,,20,"0.00,0.11,1.00,0.00,0.33,0.11,0.11,0.55,0.22,0.22,0.22,0.22",,0.00,0.33,,
chatwoot open source,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,13.65,0.33,,
chatwoot open source alternative,,20,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00",,0.00,0.86,,
chatwoot que es,,20,"0.00,0.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0.00,0.33,,
chatwoot react,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,0.57,,
chatwoot react native,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.05,,
chatwoot releases,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot remove branding,,20,"0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,0.00,0.33,,
chatwoot requirements,,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.04,,
chatwoot revenue,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00",,0.00,0.33,,
chatwoot reviews,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.46,,
chatwoot sdk,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.03,,
chatwoot self hosted,,20,"0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50",,0.00,0.04,,
chatwoot selfhosted,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,0.21,,
chatwoot shopify,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,0.25,,
chatwoot slack,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00",,0.00,0.11,,
chatwoot sso,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot telegram,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot twilio,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot update,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00",,0.00,0.00,,
chatwoot upgrade,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot version,,20,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,1.00,0.66,0.66",,0.00,0.33,,
chatwoot voip,,20,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00",,0.00,0.00,,
chatwoot vs intercom,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.48,,
chatwoot vs rocketchat,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00",,0.00,0.33,,
chatwoot webhooks,,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot whatsapp,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.14,,
chatwoot white label,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,0.00,0.05,,
chatwoot whmcs,,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00",,0.00,0.33,,
chatwoot widget,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot wordpress,,20,"1.00,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.11,,
chatwoot.com,,20,"0.27,0.00,0.00,0.27,0.12,1.00,0.71,0.41,0.00,0.00,0.12,0.12",,0.00,0.33,,
docker hub chatwoot,,20,"0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
evolution api chatwoot,,20,"1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00",,0.00,0.33,,
install chatwoot,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.29,,
is chatwoot free,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
n8n chatwoot,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
n8n chatwoot integration,,20,"0.00,0.00,0.00,0.00,0.00,0.18,1.00,0.18,0.18,0.00,0.00,0.00",,0.00,0.00,,
send message chatwoot,,20,"0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18,1.00,0.18",,0.00,0.99,,
suitecrm integration with chatwoot,,20,1.00,,0.00,0.00,,
update chatwoot,,20,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot api inbox,,10,"0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00",,0.00,0.33,,
chatwoot apk,,10,"1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00",,0.00,0.00,,
chatwoot cloud,,10,"0.00,0.00,0.00,1.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.66",,0.00,0.66,,
chatwoot development,,10,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00",,0.00,0.00,,
chatwoot digitalocean,,10,"1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot facebook,,10,"1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot fork,,10,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00",,0.00,0.14,,
chatwoot install ubuntu,,10,"0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00",,0.00,0.00,,
chatwoot integration with openai assistants api,,10,1.00,,0.00,0.00,,
chatwoot interactive messages,,10,"0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00",,0.00,0.33,,
chatwoot js sdk,,10,"0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00",,0.00,0.33,,
chatwoot knowledge base,,10,"0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.40,0.20,0.40,0.00,0.40",,0.00,0.00,,
chatwoot multi tenancy,,10,"0.50,0.50,0.50,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00",,0.00,0.00,,
chatwoot nestor,,10,"1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00",,0.00,0.33,,
chatwoot nginx,,10,"1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00",,0.00,0.33,,
chatwoot olitt,,10,"1.00,0.00",,0.00,0.00,,
chatwoot openai,,10,"0.50,0.50,0.50,0.50,0.50,0.00,0.50,0.50,1.00,0.00,0.00,0.00",,0.00,0.00,,
chatwoot plans,,10,"0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00",,0.00,0.00,,
chatwoot port,,10,"0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00",,0.00,0.00,,
chatwoot postman,,10,"1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00",,0.00,0.14,,
chatwoot rasa,,10,"1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00",,0.00,0.00,,
chatwoot rate limiting 60 requests per minute,,10,"0.33,1.00,0.66,0.00,0.00,0.00",,0.00,0.00,,
chatwoot review,,10,"0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
chatwoot saas,,10,"1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00",,0.00,0.00,,
chatwoot send message api,,10,"0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00",,0.00,0.43,,
chatwoot ticketing,,10,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00",,0.00,0.00,,
chatwoot typebot,,10,"1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00",,0.00,0.33,,
chatwoot voice,,10,"0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.19,,
chatwoot web widget,,10,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.14,,
chatwoot webhook,,10,"1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.33,,
chatwoot whatsapp campaign,,10,"0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00",,0.00,0.33,,
chatwoot whatsapp web,,10,"0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
n8n chatwoot node,,10,"0.00,0.00,0.00,0.00,0.66,0.66,0.66,0.66,0.66,1.00,0.66,0.66",,0.00,0.33,,
postman chatwoot,,10,"1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",,0.00,0.33,,
restart chatwoot,,10,"1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
typebot chatwoot,,10,"1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00",,0.00,0.33,,
upgrade chatwoot,,10,"0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00",,0.00,0.33,,
webhook chatwoot,,10,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00",,0.00,0.00,,
zapier chatwoot integration,,10,1.00,,0.00,0.00,,
api channel chatwoot,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
app chatwoot com rate limit api,,0,0.00,,0.00,0.00,,
app.chatwoot.com rate limit api,,0,"0.00,0.00,0.00,0.00",,0.00,0.00,,
auto away disable on chatwoot,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
auto messages for chatwoot,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
backup chatwoot,,0,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00",,0.00,0.14,,
botpress chatwoot,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.33,,
can i create chatbot chatwoot,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
can i remove chatwoot branding,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
